Title,Year,Mileage,Power,Price,Location,Image_URL
VW POLO 1.2 TDI 75ks BlueMotion (2011),2011,"170,000 km",55 kW (74 Hp),"4.999
 €",Свети Николе,//reklama5.mk/photos/big/077b0054-bec7-4f99-9d93-8be577d0b0f1.jpg
CITROEN C1 1.4 HDI CH NOV UVOZ CH KLIMA 5 VRATI NOVO!I,2009,"160,000 km",50 kW (67 Hp),"4.100
 €",Куманово,//reklama5.mk/photos/big/8b769787-cff2-4bd1-9d76-b760cde3902c.jpg
VW CADDY 1.6 TDI 102KS 2011 G FULL OPREMA,2011,"200,000 km",75 kW (101 Hp),"7.200
 €",Кочани,//reklama5.mk/photos/big/a83b7f1a-30a9-403c-b0e8-b1c6e9ba100f.jpg
Golf 6 GTI 2.0 TSI – 211KS – Одлична Состојба!,2010,"180,000 km",155 kW (208 Hp),"1
 €",Кавадарци,//reklama5.mk/photos/big/6ef6c76b-c94d-4813-8053-709960fe9cbc.jpg
OPEL ASTRA Ј 1.7CDTI 2010,2010,"200,000 km",81 kW (109 Hp),"5.200
 €",Аеродром / Скопје,//reklama5.mk/photos/big/da5c6987-3e76-4d9e-80fb-cf17ded34088.jpg
Bmw E60,2004,"300,000 km",130 kW (174 Hp),"50
 €",Крушево,//reklama5.mk/photos/big/d1160911-02e5-4721-97d0-24edde0e862c.jpg
Se prodava Audi A5 Sportback 2.0 177ks 2012 odlicna sostojba,2012,"200,000 km",130 kW (174 Hp),"12.900
 €",Ѓорче Петров / Скопје,//reklama5.mk/photos/big/1345994a-0fb3-4eb9-b109-7a97bb6e7133.jpg
Peugeot 207 1.4 Benzin 2008,2008,"180,000 km",65 kW (87 Hp),"3.200
 €",Битола,//reklama5.mk/photos/big/019dc056-801b-419b-8e10-397cda6a301c.jpg
BMW 120,2012,"250,000 km",70 kW (94 Hp),"10.500
 €",Велес,//reklama5.mk/photos/big/c9806a21-8ed6-4970-afc4-32baf826fc69.jpg
2020 Fiat 500 1.0 Hybrid Lounge,2020,"35,000 km",52 kW (70 Hp),"11.990
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/9a347d0c-f73d-4300-a156-1484a9bdf3ec.jpg
FORD MONDEO TITANIUM 1.5 TDCI ne uvezeno 2018g,2019,"160,000 km",88 kW (118 Hp),"13.000
 €",Автокоманда / Скопје,//reklama5.mk/photos/big/6ec4ad80-bb33-42a9-b9a6-4257590150c2.jpg
2022 Volkswagen Arteon 2.0 TDI 200 DSG Elegance,2022,"140,000 km",147 kW (197 Hp),"35.000
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/c3a1ec2f-1943-4ab6-9f07-2e5142191038.jpg
VW Passat CC 2.0TDI 140ks DSG Panorama Registrirano 2010,2010,"200,000 km",103 kW (138 Hp),"10.700
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/afdcde51-b922-4059-a1ec-18ae29b7882b.jpg
Toyota Corolla 2017,2017,"120,000 km",66 kW (89 Hp),"14.500
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/aa07084a-aa2e-4944-978e-d01b5189ced4.jpg
Audi-A3 / 2009 god / Diesel /,2009,"250,000 km",77 kW (103 Hp),"7.500
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/a02e4a7f-5ff8-4a26-8162-2ddbb7171501.jpg
Kia Ceed,2007,"200,000 km",80 kW (107 Hp),"3.700
 €",Ѓорче Петров / Скопје,//reklama5.mk/photos/big/f988e384-5671-4ab8-b61b-fbef10785c8c.jpg
Opel Astra J 1.7CDTI,2010,"200,000 km",81 kW (109 Hp),"1
 €",Прилеп,//reklama5.mk/photos/big/caef4578-8091-4423-a7d9-ee055f518a8f.jpg
Golf Plus 1.9 TDI 2007,2007,"200,000 km",77 kW (103 Hp),По Договор,Битола,//reklama5.mk/photos/big/90fa62da-7623-4d05-8c61-a5b48aa17c89.jpg
PEUGEOT 107 1.0 BENZIN 68 KS 2008 GOD. REG. DO JANUARI 2026,2008,"190,000 km",51 kW (68 Hp),"2.650
 €",Кочани,//reklama5.mk/photos/big/9ffcde22-9e78-4906-98ec-234f41316f40.jpg
